"Employeurs ayant obtenu une étude d’impact sur le marché du travail  (EIMT) positive en 2020 (avril-juin), par volet, classification nationale des professions (CNP) 2011 et lieu de affaires",,,,,,
Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés,
Nouvelle-Écosse,   Bas salaire,Petit de Grat Packers Ltd.,"Petit de Grat, B0E2L0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,20,
Nouvelle-Écosse,  Agriculture primaire,Balamore Farm Ltd,"Great Village, B0M1L0",8431-Ouvriers agricoles,1,
Nouvelle-Écosse,  Agriculture primaire,Black Avon Farms Ltd,"Antigonish, B0H1R0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2,
Nouvelle-Écosse,  Agriculture primaire,Curtmar Farms Limited,"Fort Ellis, B0N2J0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1,
Nouvelle-Écosse,  Agriculture primaire,Eisses Farms Ltd,"Centreville, B0P1J0",8431-Ouvriers agricoles,4,
Nouvelle-Écosse,  Agriculture primaire,Elmridge Farm Ltd,"RR2 Centreville, B0P1J0",8431-Ouvriers agricoles,1,
Nouvelle-Écosse,  Agriculture primaire,Fuller Brothers Farms Inc.,"Avonport, B0P1B0",8431-Ouvriers agricoles,12,
Nouvelle-Écosse,  Agriculture primaire,G.A.R. Tree Farms Ltd,"Barss Corner, B0R1A0",8432-Ouvriers de pépinières et de serres,14,
Nouvelle-Écosse,  Agriculture primaire,Harbour Island Ecologics Inc.,"Goldboro, B0H1L0",0821-Gestionnaires en agriculture,1,
Nouvelle-Écosse,  Agriculture primaire,High Point Orchards LTD.,"Kentville, B4N3V7",8431-Ouvriers agricoles,20,
Nouvelle-Écosse,  Agriculture primaire,J & B Millen Farms Limited,"Great Village, B0M1L0",8431-Ouvriers agricoles,16,
Nouvelle-Écosse,  Agriculture primaire,J & M Reeves Christmas Greens Limited,"New Ross, B0J2M0",8432-Ouvriers de pépinières et de serres,2,
Nouvelle-Écosse,  Agriculture primaire,M. KEDDY FARM & FOREST LTD.,"New Ross, B0J2M0",8432-Ouvriers de pépinières et de serres,5,
Nouvelle-Écosse,  Agriculture primaire,Morse's Farm Limited,"Berwick, B0P1E0",8431-Ouvriers agricoles,3,
Nouvelle-Écosse,  Agriculture primaire,Perfect Berries Ltd.,"Berwick, B0P1E0",8431-Ouvriers agricoles,16,
Nouvelle-Écosse,  Agriculture primaire,Randsland Farms Inc,"Canning, B0P1H0",8431-Ouvriers agricoles,1,
Nouvelle-Écosse,  Agriculture primaire,Rivermac Farms Limited,"Antigonish, B2G2K8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2,
Nouvelle-Écosse,  Agriculture primaire,Sarsfield Farms Incorporated,"Kentville, B4N3V7",8431-Ouvriers agricoles,30,
Nouvelle-Écosse,  Agriculture primaire,Sawler Gardens Ltd.,"Berwick, B0P1E0",8431-Ouvriers agricoles,10,
Nouvelle-Écosse,  Agriculture primaire,Spurr Brothers Farms Ltd,"Melvern Square, B0P1R0",8431-Ouvriers agricoles,10,
Nouvelle-Écosse,  Agriculture primaire,Vermeulen Farms Limited,"Canning, B0P1H0",8431-Ouvriers agricoles,4,
Nouvelle-Écosse,  Agriculture primaire,Webster Farms Limited,"Cambridge, B0P1G0",8431-Ouvriers agricoles,20,
Nouvelle-Écosse,  Talent mondial,CloudKettle Inc.,"Halifax, B3J3J8",2173-Ingénieurs et concepteurs en logiciel,1,
Nouvelle-Écosse,  Talent mondial,Eden Valley Poultry Inc,"Berwick, B0P1E0","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1,
Nouvelle-Écosse,  Talent mondial,Kinduct Technologies Inc.,"Halifax, B3J3R7",2173-Ingénieurs et concepteurs en logiciel,1,
Nouvelle-Écosse,  Talent mondial,Mindsea Development Incorporated,"Halifax, B3J3M8",2175-Concepteurs et développeurs Web,1,
Nouvelle-Écosse,  Talent mondial,Proposify Inc.,"Halifax, B3J1W5",2174-Programmeurs et développeurs en médias interactifs,1,
Nouvelle-Écosse,  Talent mondial,Radiation Oncology Services Inc.,"Halifax, B3H1V7",3111-Médecins spécialistes,1,
Nouvelle-Écosse,  Talent mondial,Sona Nanotech Inc.,"Halifax, B3J3R7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1,
Nouveau-Brunswick,     Haut salaire,682364 NB INC,"Fredericton, E3B8P4",1311-Techniciens en comptabilité et teneurs de livres,1,
Nouveau-Brunswick,     Haut salaire,700827 NB Inc.,"Fredericton, E3B1B2",0631-Directeurs de la restauration et des services alimentaires,1,
Nouveau-Brunswick,     Haut salaire,700827 NB Inc.,"Fredericton, E3B1B2",6322-Cuisiniers,2,
Nouveau-Brunswick,     Haut salaire,AYR Motor Express Inc,"Woodstock, E7M4G2",7511-Conducteurs de camions de transport,10,
Nouveau-Brunswick,     Haut salaire,C & H EUROLEVEL TRANSPORTATION INC,"WOODSTOCK, E7M2T5",7511-Conducteurs de camions de transport,2,
Nouveau-Brunswick,     Haut salaire,COUNTY LINE TRUCKING LTD,"WILMOT, E7P2V4",7511-Conducteurs de camions de transport,7,
Nouveau-Brunswick,     Haut salaire,ELEPHANT TRANSPORT INC,"Scoudouc, E4P1A9",7511-Conducteurs de camions de transport,3,
Nouveau-Brunswick,     Haut salaire,"J.D. Irving, Limited - Woodlands Division","Saint John, E2L4Z2",8241-Conducteurs de machines d'abattage d'arbres,10,
Nouveau-Brunswick,     Haut salaire,JPS Trucking Ltd,"Northampton, E7N1E4",7511-Conducteurs de camions de transport,4,
Nouveau-Brunswick,     Haut salaire,Lucky Freight Inc.,"Woodstock, E7M1V3",7511-Conducteurs de camions de transport,4,
Nouveau-Brunswick,     Haut salaire,Murray Enterprises Ltd.,"sussex corner, E4E2Y5",7511-Conducteurs de camions de transport,2,
Nouveau-Brunswick,     Haut salaire,Red Emerald R&D Ltd.,"Moncton, E1G5W7",7511-Conducteurs de camions de transport,2,
Nouveau-Brunswick,     Haut salaire,RITE-LINE TRANSPORTATION INC.,"FLORENCEVILLE-BRISTOL, E7L3K6",7511-Conducteurs de camions de transport,2,
Nouveau-Brunswick,     Haut salaire,Stewart Transfer Ltd,"PERTH-ANDOVER, E7H5G3",7511-Conducteurs de camions de transport,3,
Nouveau-Brunswick,     Haut salaire,Sunbury Transport Limited,"SAINT JOHN, E2L4H8",7511-Conducteurs de camions de transport,10,
Nouveau-Brunswick,     Haut salaire,Von Industries Ltd.,"Berry Mills, E1G5X5",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,1,
Nouveau-Brunswick,     Haut salaire,WHITE ROCK FREIGHT SERVICES INC,"Moncton, E1C6L9",7511-Conducteurs de camions de transport,3,
Nouveau-Brunswick,   Bas salaire,671348 N.B. INC.,"MONCTON, E1C1E3",6322-Cuisiniers,2,
Nouveau-Brunswick,   Bas salaire,Ocean Pier Inc,"Scoudouc, E4P3R4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,50,
Nouveau-Brunswick,   Bas salaire,R&L CONVENIENCE INC.,"ROTHESAY, E2E5X4",6322-Cuisiniers,2,
Nouveau-Brunswick,   Bas salaire,Troyco Inc.,"Edmundston, E3V3L1",6311-Superviseurs des services alimentaires,1,
Nouveau-Brunswick,   Bas salaire,Zoa Mansu B.B.Q Inc,"Dieppe, E1A1G1",6322-Cuisiniers,1,
Nouveau-Brunswick,  Agriculture primaire,624888 N.-B. ltée,"St-Quentin, E8A1N9",8431-Ouvriers agricoles,1,
Nouveau-Brunswick,  Agriculture primaire,Cavendish Farms Corporation,"Dieppe, E1A6X4",8431-Ouvriers agricoles,1,
Nouveau-Brunswick,  Agriculture primaire,Hanscome Farms Ltd,"Perth-Andover, E7H4K4",8431-Ouvriers agricoles,12,
Nouveau-Brunswick,  Agriculture primaire,M&S Wild Blueberry Farms Ltd.,"Kouchibouguac, E4X1L7",8431-Ouvriers agricoles,9,
Nouveau-Brunswick,  Agriculture primaire,MOXON'S COUNTRY PUMPKIN LTD,"Maugerville, E3A8K8",8431-Ouvriers agricoles,5,
Nouveau-Brunswick,  Agriculture primaire,Verger Belliveau Orchard ltd.,"Memramcook, E4K2S6",0821-Gestionnaires en agriculture,1,
Nouveau-Brunswick,  Agriculture primaire,Verger Belliveau Orchard ltd.,"Memramcook, E4K2S6",8431-Ouvriers agricoles,3,
Nouveau-Brunswick,  Agriculture primaire,Verger Belliveau Orchard ltd.,"Memramcook, E4K2S6",8611-Manoeuvres à la récolte,1,
Nouveau-Brunswick,  Agriculture primaire,Waddy & Colpitts Ltd.,"Colpitts Settlement, E4J0B6","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1,
Nouveau-Brunswick,  Talent mondial,Cavendish Farms Corporation,"Dieppe, E1A6X4",0821-Gestionnaires en agriculture,1,
Québec,     Haut salaire,0972792 B.C. LTD,"Saint-Laurent, H4T1V6","2161-Mathématiciens, statisticiens et actuaires",1,
Québec,     Haut salaire,121352 Canada Inc,"Rouyn-Noranda, J9X4K8",7231-Machinistes et vérificateurs d'usinage et d'outillage,6,
Québec,     Haut salaire,1357-0726 Québec Inc.,"Québec, G1K8L4",6322-Cuisiniers,3,
Québec,     Haut salaire,2745-0709 QUÉBEC INC,"Montreal, H8P1B3",6322-Cuisiniers,1,
Québec,     Haut salaire,2842-3861 Québec Inc.,"MONTRÉAL, H4N1G6",1222-Adjoints de direction,1,
Québec,     Haut salaire,2867-3598 Québec Inc.,"Montréal, H3H2G9",6322-Cuisiniers,1,
Québec,     Haut salaire,2950-0519 Québec inc.,"Rouyn-Noranda, J9X6T3",2232-Technologues et techniciens en génie mécanique,1,
Québec,     Haut salaire,2950-0519 Québec inc.,"Rouyn-Noranda, J9X6T3",7311-Mécaniciens de chantier et mécaniciens industriels,2,
Québec,     Haut salaire,4427629 CANADA INC.,"St. Lazarre, J7T2B5",0621-Directeurs - commerce de détail et de gros,1,
Québec,     Haut salaire,6144527 CANADA INC.,"VAUDREUIL-DORION, J7V9H5",7511-Conducteurs de camions de transport,2,
Québec,     Haut salaire,6318703 Canada inc.,"Matane, G4W3M6",2253-Technologues et techniciens en dessin,1,
Québec,     Haut salaire,6735240 Canada inc.,"Chelsea, J9B1J3",6322-Cuisiniers,3,
Québec,     Haut salaire,7/24 Express Inc.,"Montréal, H2Y2W2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1,
Québec,     Haut salaire,7605633 Canada Inc,"Saint-Eustache, J7P4W9",4151-Psychologues,1,
Québec,     Haut salaire,8585547 Canada inc,"Pointe-Claire, H9R5Z5",6321-Chefs,1,
Québec,     Haut salaire,9055-6580 Québec Inc. (Restaurant le St-Antoine),"Shawinigan, G9T1A6",6322-Cuisiniers,1,
Québec,     Haut salaire,9065-1183 QUÉBEC INC.,"Mont-Tremblant, J8E1B1",6322-Cuisiniers,2,
Québec,     Haut salaire,9072-4451 Québec Inc.,"Québec, G1P1K7",6322-Cuisiniers,1,
Québec,     Haut salaire,9086-3010 Québec Inc.,"Saint-Augustin-de-Desmaures, G3A2V1",7231-Machinistes et vérificateurs d'usinage et d'outillage,1,
Québec,     Haut salaire,9099-7768 QUÉBEC INC.,"Saint-Augustin-de-Demaures, G3A1V9",7231-Machinistes et vérificateurs d'usinage et d'outillage,1,
Québec,     Haut salaire,9099-7768 QUÉBEC INC.,"Saint-Augustin-de-Demaures, G3A1V9",7237-Soudeurs et opérateurs de machines à souder et à braser,1,
Québec,     Haut salaire,9101-6675 QUEBEC INC,"RIVIÈRE-DU-LOUP, G5R5X9",7511-Conducteurs de camions de transport,1,
Québec,     Haut salaire,9105-9345 Quebec Inc,"MONTREAL, H2X3P9",6321-Chefs,1,
Québec,     Haut salaire,9114-7652 Québec Inc.,"Chibougamau, G8P1N6",6322-Cuisiniers,3,
Québec,     Haut salaire,9123-4054 QUÉBEC INC.,"Saint-Laurent, H4N1C8","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1,
Québec,     Haut salaire,9150-2468 québec inc.,"Rouyn-Noranda, J9X6M6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",5,
Québec,     Haut salaire,9165-9441 QUEBEC INC.,"Québec, G1S3E5",6322-Cuisiniers,1,
Québec,     Haut salaire,9166-3104 Québec Inc. Burger King,"LONGUEUIL, J3Z1H2",6311-Superviseurs des services alimentaires,6,
Québec,     Haut salaire,9177-9447 Québec Inc.,"Québec, G1C3P8",6322-Cuisiniers,1,
Québec,     Haut salaire,9185-0321 Québec inc,"Maniwaki, J9E1Z9",6311-Superviseurs des services alimentaires,4,
Québec,     Haut salaire,9204-8842 Quebec Inc,"Val-d'Or, J9P1G1",7322-Débosseleurs et réparateurs de carrosserie,2,
Québec,     Haut salaire,9207-0945 Québec Inc.,"Montréal, H4A1E5",6322-Cuisiniers,1,
Québec,     Haut salaire,9220-5442 Québec inc.,"BÉCANCOUR, G9H3C2",6322-Cuisiniers,1,
Québec,     Haut salaire,9221-1598 Québec inc,"Québec, G3J1Y7",7322-Débosseleurs et réparateurs de carrosserie,1,
Québec,     Haut salaire,9221-8544 QUÉBEC INC.,"Saint-Jean-sur-Richelieu, J3B7X4",7291-Couvreurs et poseurs de bardeaux,4,
Québec,     Haut salaire,9244-8398 Quebec INC,"Quebec, G1R1S3",6322-Cuisiniers,2,
Québec,     Haut salaire,9247-1416 Quebec Inc.,"Pierrefonds, H8Y2B1",7511-Conducteurs de camions de transport,1,
Québec,     Haut salaire,9252-0618 Quebec Inc.,"Montreal, H4P1P5",6321-Chefs,1,
Québec,     Haut salaire,9257-7006 QUEBEC INC.,"Saint-Leonard, H1S1K2",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,1,
Québec,     Haut salaire,92848779 Québec Inc.,"Ste-Julie, J3E0C3",7322-Débosseleurs et réparateurs de carrosserie,1,
Québec,     Haut salaire,9290 8185 QUEBEC INC,"Montreal, H1J1R6",7332-Réparateurs et préposés à l'entretien d'appareils,4,
Québec,     Haut salaire,9305-2090 Quebec inc.,"Montreal, H4B1V3",6322-Cuisiniers,1,
Québec,     Haut salaire,9317-0942 Québec Inc,"Saint-Michel-des-Saints, J0K3B0",1222-Adjoints de direction,1,
Québec,     Haut salaire,9320-6779 Québec Inc. (Presse Café),"Montréal, H3M1T9",6311-Superviseurs des services alimentaires,1,
Québec,     Haut salaire,9330-1745 Québec Inc.  (Thaïzone,"Montréal, H2J2L1",6322-Cuisiniers,1,
Québec,     Haut salaire,9333-4787 Québec Inc. / Échelle Rive-Sud,"Saint-Hubert, J4T2G1",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1,
Québec,     Haut salaire,9336-2994 Quebec inc.,"Greenfield Park, J4V2P7",6322-Cuisiniers,1,
Québec,     Haut salaire,9338-2257 Québec inc.,"Québec, G1V1V4","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1,
Québec,     Haut salaire,9347 6596 QUEBEC INC,"MONTREAL, H2K2B6",7237-Soudeurs et opérateurs de machines à souder et à braser,2,
Québec,     Haut salaire,9347-2983 Québec Inc.,"Longueuil, J4J2L1",7315-Mécaniciens et contrôleurs d'aéronefs,2,
Québec,     Haut salaire,9348-8161 Québec Inc.,"Lévis, G6Y0J4",7237-Soudeurs et opérateurs de machines à souder et à braser,2,
Québec,     Haut salaire,9351-5666 Québec Inc.,"St-Georges, G5Y2C7",6322-Cuisiniers,1,
Québec,     Haut salaire,9352-7612 QUEBEC INC,"Québec, G1R1Z1",6322-Cuisiniers,1,
Québec,     Haut salaire,9364-9168 Québec Inc.,"Québec, G2G2R1",6322-Cuisiniers,1,
Québec,     Haut salaire,9379-7389 Québec Inc.,"Montréal, H3G2B7",6322-Cuisiniers,1,
Québec,     Haut salaire,A. Lacroix et Fils Granit Ltee,"St-Sébastien, G0Y1M0",7231-Machinistes et vérificateurs d'usinage et d'outillage,3,
Québec,     Haut salaire,AAR Aircraft Services – Trois-Rivières ULC,"Trois-Rivières, G9B2N8",7315-Mécaniciens et contrôleurs d'aéronefs,1,
Québec,     Haut salaire,Alimentation Stéphane Thomassin inc.,"Québec, G1V2V7","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1,
Québec,     Haut salaire,ALIMENTS ALTRA INC,"Montreal, H1E6W5",1221-Agents d'administration,1,
Québec,     Haut salaire,Aliments Asta inc.,"St-Alexandre, G0L2G0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",2,
Québec,     Haut salaire,ALTEN Canada Inc.,"Montréal, H3B4N4",0601-Directeurs des ventes corporatives,1,
Québec,     Haut salaire,ARIVAC Inc.,"SAINT-HYACINTHE, J2S6L7",0911-Directeurs de la fabrication,1,
Québec,     Haut salaire,ARIVAC Inc.,"SAINT-HYACINTHE, J2S6L7",2121-Biologistes et personnel scientifique assimilé,1,
Québec,     Haut salaire,ASTEK Canada Inc.,"Montréal, H2Y1M6",2174-Programmeurs et développeurs en médias interactifs,1,
Québec,     Haut salaire,Atelier D'Usinage F.J. Ltee-F.J. Machine Shop LTD.,"Baie d'Urfe, H9X3T1",7231-Machinistes et vérificateurs d'usinage et d'outillage,1,
Québec,     Haut salaire,Atelier d'usinage Mégatech A.Q. Inc.,"Québec, G1P4M9",7231-Machinistes et vérificateurs d'usinage et d'outillage,1,
Québec,     Haut salaire,Atelier Fabmec Inc.,"CHICOUTIMI, G7H5B1",7237-Soudeurs et opérateurs de machines à souder et à braser,3,
Québec,     Haut salaire,AUTO BUGATTI INC,"DORVAL, H9P1G4",7322-Débosseleurs et réparateurs de carrosserie,1,
Québec,     Haut salaire,Autobus Thomas inc,"Drummondville, J2C7V9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2,
Québec,     Haut salaire,Autobus Thomas inc,"Drummondville, J2C7V9",7322-Débosseleurs et réparateurs de carrosserie,1,
Québec,     Haut salaire,Automobiles Carella inc.,"Amos, J9T2X8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1,
Québec,     Haut salaire,Autoroule inc,"Val-d'Or, J9P1W2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1,
Québec,     Haut salaire,Beenox inc.,"Quebec, G1K3H3",5241-Designers graphiques et illustrateurs,1,
Québec,     Haut salaire,Bercomac Limitée,"ADSTOCK, G0N1S0",7237-Soudeurs et opérateurs de machines à souder et à braser,6,
Québec,     Haut salaire,Boulangerie Casse Noisette Inc.,"dorval, H9P1A3",7232-Outilleurs-ajusteurs,1,
Québec,     Haut salaire,Buf Canada Inc.,"MONTRÉAL, H2X2T6",5241-Designers graphiques et illustrateurs,1,
Québec,     Haut salaire,C.H. Express Inc.,"Saint-Jean-sur-Richelieu, J2X5A9",7511-Conducteurs de camions de transport,2,
Québec,     Haut salaire,Café LB9 Inc.,"Québec, G2J0C4",6311-Superviseurs des services alimentaires,1,
Québec,     Haut salaire,Camions Maska inc.,"La Présentation, J0H1B0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",3,
Québec,     Haut salaire,Carrosserie DRD inc,"Val-David, J0T2N0",7322-Débosseleurs et réparateurs de carrosserie,2,
Québec,     Haut salaire,Carrosserie du parc inc,"Amos, J9T4L5",7322-Débosseleurs et réparateurs de carrosserie,1,
Québec,     Haut salaire,Carrosserie Ferrazza M.S. Inc.,"LONGUEUIL, J4K2Y8",7322-Débosseleurs et réparateurs de carrosserie,1,
Québec,     Haut salaire,CENTRE DE COLLISION MONTRÉAL-EST INC.,"Montreal, H1B1C4",7322-Débosseleurs et réparateurs de carrosserie,1,
