Employer,Address,Positions,Province,Latitude,Longitude
Eastern Regional Health Authority,"Waterfront Bridge Road, St. John's, NL  A1E 4J8",2,Newfoundland and Labrador,47.5275996,-52.7515728
Exceed (XCD) Canada Limited,"49 LeMarchant Road, Unit 304, St. John's, NL  A1C 2G9",1,Newfoundland and Labrador,47.562117,-52.71647
Exxon Mobil Canada Energy,"100 New Gower Street, Suite 1000, St. John's, NL  A1C 6K3",1,Newfoundland and Labrador,47.5606323,-52.712527
Exxonmobil Canada,"215 Water Street, St. John's, NL  A1C 6C9",1,Newfoundland and Labrador,47.5630158,-52.7084738
Fibreglass Works Ltd.,"Box 135, Centreville, NL  A0G 4P0",3,Newfoundland and Labrador,49.020798,-53.924008
Frontier Season 1,"PO Box 6207, STN C, St. John's, NL  A1C 6J9",12,Newfoundland and Labrador,47.568789,-52.717831
House-Man Limited,"15 First Avenue, Wabush, NL  A0R 1B0",2,Newfoundland and Labrador,52.904764,-66.870789
India Gate Restaurant,"286 Duckworth Street, St. John's, NL  A1C 1H3",1,Newfoundland and Labrador,47.5660512,-52.7062566
Iron Ore Company Of Canada,"2 Avalon Drive, Labrador City, NL  A2V 2Y6",1,Newfoundland and Labrador,52.942011,-66.910472
Jill Dreaddy Danceco,"73 Waterford Bridge Road, St. John's, NL  A1E 1C5",1,Newfoundland and Labrador,47.545074,-52.722657
Jungle Jim's Gander,"PO Box 202, Gander, NL  A1V 1W6",2,Newfoundland and Labrador,48.965246,-54.63764
Kean's Pump Shop Ltd.,"53 Pippy Place, St. John's, NL  A1B 4H8",1,Newfoundland and Labrador,47.561457,-52.772715
Kiewit-Kvaerner Contractors,"240 Waterford Bridge Road, St. John's, NL  A1E 1E2",27,Newfoundland and Labrador,47.5317522,-52.7398845
Labrador Inn,"Box 58, STN C, Happy Valley-Goose Bay, NL  A0P 1C0",2,Newfoundland and Labrador,53.308255,-60.378852
Labrador-Grenfell Health,"200 West Street, Suite 178, St. Anthony, NL  A0K 4S0",6,Newfoundland and Labrador,51.358383,-55.576993
Labrador-Grenfell Regional Health Authority,"PO Box 7000, STN C, Happy Valley-Goose Bay, NL  A0P 1C0",2,Newfoundland and Labrador,53.308255,-60.378852
Larch Grove Farm Ltd.,"405 Veterans Drive, Cormack, NL  A8A 2R7",1,Newfoundland and Labrador,49.282213,-57.420854
Lester's Farm Market,"Box 392, Mount Pearl, NL  A1N 2C4",10,Newfoundland and Labrador,47.519204,-52.807406
LouisGee's Pizza & Donair,"4 MacGregor Place, Corner Brook, NL  A2H 7B7",3,Newfoundland and Labrador,48.9494545,-57.9225298
Lower Churchill Project,"PO Box 15150, STN A, St. John's, NL  A1B 0M7",1,Newfoundland and Labrador,47.5651062,-52.7828281
Maersk Supply Service,"100 New Gower Street, Suite 803, St. John's, NL  A1C 6K3",2,Newfoundland and Labrador,47.5606323,-52.712527
Mary Brown's,"78 Manitoba Drive, Clarenville, NL  A5A 1K6",1,Newfoundland and Labrador,48.171733,-53.989211
Mary Brown's Manuels,"81 Conception Bay, South Highway, Unit 1, Conception Bay South, NL  A1W 3A3",1,Newfoundland and Labrador,47.5208424,-52.9479729
Maudie,"40 Newtown Road, St. John's, NL  A1C 4E1",1,Newfoundland and Labrador,47.5665904,-52.7164017
Maxwell's & Bentley's,"PO Box 493, STN B, Happy Valley-Goose Bay, NL  A0P 1E0",3,Newfoundland and Labrador,53.312758,-60.38015
Memorial University Of Newfoundland and Labrador,"Elizabeth Avenue, PO Box 4200, St. John's, NL  A1C 5S7",3,Newfoundland and Labrador,47.55954,-52.711431
Merlo's Inferno,"193 Kenmount Road, Unit 2, St. John's, NL  A1B 3P9",1,Newfoundland and Labrador,47.5572548,-52.7602439
Mes Amis Daycare and Preschool,"160 Carrick Drive, St. John's, NL  A1A 4P8",1,Newfoundland and Labrador,47.6105871,-52.7063094
Metroworth Consulting (Canada) Ltd.,"115 Cavendish Square, St. John's, NL  A1C 3K2",1,Newfoundland and Labrador,47.570761,-52.700574
Mohamed Ali's Restaurant,"35 Suvla Street, St. John's, NL  A1C 4Z5",1,Newfoundland and Labrador,47.565811,-52.727617
N&N Farm Ltd.,"410A Veterans Drive, Cormack, NL  A8A 2R6",2,Newfoundland and Labrador,49.282213,-57.420854
NARL Refining Ltd Partnership,"PO Box 40, Come By Chance, NL  A0B 1N0",3,Newfoundland and Labrador,47.934031,-54.16475
NECL -Apply Leirvik Partnership,"16 Mackay Place, PO Box 1674, St. John's, NL  A1G 1A1",3,Newfoundland and Labrador,47.5280277,-52.7432358
New World Dairy,"PO Box 475, St. David's, NL  A0N 1X0",10,Newfoundland and Labrador,48.160518,-58.815081
Newfound Sushi Inc.,"117 Broadway, Corner Brook, NL  A2H 4E3",1,Newfoundland and Labrador,48.952497,-57.955854
Newfoundland & Labrador Hydro,"PO Box 12400, St. John's, NL  A1B 4K7",1,Newfoundland and Labrador,47.519691,-52.837161
NSB Energy Inc.,"PO Box 49, St. John's, NL  A1C 6C9",1,Newfoundland and Labrador,47.5630158,-52.7084738
Ocean View Farm,"92 Farm Road, Bay Bulls, NL  A0A 1C0",1,Newfoundland and Labrador,47.403988,-52.79987
Oceanex Inc.,"Baine Johson Centre, Suite 701, St. John's, NL  A1C 1K4",1,Newfoundland and Labrador,47.571543,-52.7003125
Peter's Pizza,"1310 Topsail Road, Paradise, NL  A1B 4J7",1,Newfoundland and Labrador,47.562957,-52.746544
Pond View Farms,"PO Box 383, Goulds, NL  A1S 1G5",2,Newfoundland and Labrador,47.468139,-52.777503
Quinlan Brothers Limited,"215 Water Street, Atlantic Place, PO Box 71, Suite 302, St. John's, NL  A1C 6C9",93,Newfoundland and Labrador,47.5630158,-52.7084738
Seadrill Canada Ltd.,"5 Springdale Street, Suite 700, St. John's, NL  A1E 0E4",8,Newfoundland and Labrador,47.539302,-52.74861
Seamatica Aerospace Limited,"2 Maple Street, St. John's, NL  A1B 2T4",1,Newfoundland and Labrador,47.5723592,-52.7188934
Spectrol Energy Services Inc.,"20 Maverick Place, Paradise, NL  A1L 0J1",3,Newfoundland and Labrador,47.544021,-52.869514
Sunrise Dairy Limited,"PO Box 205, Musgravetown, NL  A0C 1A0",1,Newfoundland and Labrador,48.346418,-53.964627
Tai Hong Restaurant,"2 Tilley's Road, Clarenville, NL  A5A 1Z2",1,Newfoundland and Labrador,48.152502,-53.96638
Take the Shot Productions Inc.,"PO Box 6207, STN C, St. John's, NL  A1C 6J9",5,Newfoundland and Labrador,47.568789,-52.717831
Taste East Inc.,"1 Cambridge Avenue, St. John's, NL  A1A 3N5",1,Newfoundland and Labrador,47.6021962,-52.6941263
Taste of Jamaica,"33 Broadway Avenue, Corner Brook, NL  A2H 4C5",1,Newfoundland and Labrador,48.953952,-57.956832
Tilt House Bakery,"1194 Portugal Cove Road, Portugal Cove-St. Philips, NL  A1M 3L8",1,Newfoundland and Labrador,47.6133512,-52.8193437
Toiber Toys,"48 Kenmount Road, St. John's, NL  A1B 1W3",1,Newfoundland and Labrador,47.5586,-52.755482
Transocean Canada Drilling Services,"Kenmount Business Centre, Suite 302, St. John's, NL  A1B 3V7",1,Newfoundland and Labrador,47.5588393,-52.7537154
Turnbulls Home Hardware Ltd. o/a Home Hardware,"40 Main Road, L'Anse-au-Clair, NL  A0K 3K0",1,Newfoundland and Labrador,51.425186,-57.039525
Uncle Li Restaurant Inc,"3 Coish Place, Clarenville, NL  A5A 0C3",2,Newfoundland and Labrador,48.1695152,-53.9882918
Viking Fur Inc,"160 Main Road, Cavendish, NL  A0B 1J0",6,Newfoundland and Labrador,47.715864,-53.493243
West End Foods Limited oa Jungle Jims,"PO Box 23106, Churchill Square, St. John's, NL  A1B 4J9",1,Newfoundland and Labrador,47.582448,-52.697392
Western Regional Integrated Health Authority,"1 Brookfield Avenue, Corner Brook, NL  A2H 6J7",8,Newfoundland and Labrador,48.965333,-58.030775
Wing'n It Kenmount,"PO Box 8053, St. John's, NL  A1B 3M7",3,Newfoundland and Labrador,47.577761,-52.875216
Wongs Palace Limited,"PO Box 1206, Marystown, NL  A0E 2M0",2,Newfoundland and Labrador,47.15491,-55.265069
WorleyParsons Canada Services Ltd.,"240 Waterford Bridge Road, St. John's, NL  A1E 1E2",1,Newfoundland and Labrador,47.5317522,-52.7398845
Acadian Fishermen's Co-operative Association Ltd.,"8323 Route 11, Abram Village, Wellington, PE  C0B 2E0",24,Prince Edward Island,46.450806,-63.99892
Atlantec BioEnergy Corp.,"112 W.B. MacPhail Drive, Cornwall, PE  C0A 1H5",1,Prince Edward Island,46.262182,-63.193038
Atlantic Beef Products Inc.,"95 Train Station Road, Box 40, Albany, PE  C0B 1A0",4,Prince Edward Island,46.318197,-63.558561
Atlantic Grown Organics Inc,"713 Route 104, RR 5, Kensington, PE  C0B 1M0",9,Prince Edward Island,46.43789,-63.63458
Atlantic Veterinary College,"550 University Avenue, Charlottetown, PE  C1A 4P3",1,Prince Edward Island,46.2562014,-63.141776
Beach Point Processing Company,"75 Wharf Lane, Beach Point, PE  C0A 1V0",86,Prince Edward Island,46.002798,-62.519557
Belle River Enterprises Ltd.,"12 Waterview Lane, Belle River, PE  C0A 1B0",10,Prince Edward Island,45.9791603088379,-62.8373565673828
Big Diesel Transport Inc,"1010 Newton Road, PO Box 52, Kinkora, PE  C0B 1N0",5,Prince Edward Island,46.344061,-63.548072
Bight Studios,"45 Queen Street, Suite 301, Charlottetown, PE  C1A 4A4",1,Prince Edward Island,46.232071,-63.125037
BioVectra Inc,"11 Aviation Avenue, Charlottetown, PE  C1E 0A1",1,Prince Edward Island,46.2315054,-63.1322224
Birch Farms Ltd,"220 Stavert Shore Road, North Bedeque, Summerside, PE  C1N 4J9",2,Prince Edward Island,46.39208,-63.740224
Birkentree Holsteins,"7033 Rustico Road, Hunter River, PE  C0A 1N0",2,Prince Edward Island,46.401847,-63.338722
Brookfield Gardens Inc,"1067 Millboro Road, RR 4, Brookfield, PE  C0A 1Y0",15,Prince Edward Island,46.203797,-63.266232
Bulk Carriers (P.E.I.) Limited,"PO Box 153, Cornwall, PE  C0A 1H0",40,Prince Edward Island,46.1749323,"-63.2607926
V6P 5A7"""
Burger King East Saint John /6497969 Canada Inc.,"c/o 26 Hillside Drive, Charlottetown, PE  C1A 6H7",1,Prince Edward Island,46.258068,-63.131651
Burger King Restaurant,"26 Hillside Drive, Charlottetown, PE  C1A 6H7",1,Prince Edward Island,46.258068,-63.131651
Carruthers Farms Ltd,"2444 Hamilton Road, Kensington, PE  C0B 1M0",4,Prince Edward Island,46.43789,-63.63458
Cedar Grove Farms,"3499 Grand River Route 12, RR 1, Richmond, PE  C0B 1Y0",3,Prince Edward Island,46.5138130187988,-63.9548187255859
Claddagh Oyster House and Olde Dublin Pub,"131 Sydney Street, Charlottetown, PE  C1A 1G5",2,Prince Edward Island,46.23326,-63.126346
Dean Craswell,"5511 Rustico Road, RR 3, Hunter River, PE  C0A 1N0",1,Prince Edward Island,46.401847,-63.338722
Domino's Pizza,"386 University Avenue, Charlottetown, PE  C1A 4N5",3,Prince Edward Island,46.244386,-63.1338403
Domino's Pizza,"505 Granville Street, Summerside, PE  C1N 6V7",2,Prince Edward Island,46.4203168,-63.7791172
Eastern Exporters Ltd,"677 Route 2, PO Box 418, Souris, PE  C0A 2B0",17,Prince Edward Island,46.354047,-62.25215
Eastern Farms Ltd,"70 McInnis Point Road, Vernon River, PE  C0A 2E0",9,Prince Edward Island,46.179,-62.884
Frizzell's Valleyville Farm Inc.,"621 Junction Road RR 4, Hunter River, PE  C0A 1N0",2,Prince Edward Island,46.401847,-63.338722
Garden Home,"310 North River Road, Charlottetown, PE  C1A 3M4",1,Prince Edward Island,46.249107,-63.14863
Goodall Farms,"4048 Fort Augustus Road, Route 21, Fort Augustus, PE  C1B 2Z4",5,Prince Edward Island,46.318718,-62.929516
Health PEI,"16 Garfield Street, PO Box 2000, Charlottetown, PE  C1A 7N8",7,Prince Edward Island,46.25128,-63.147429
Howardvale Holsteins,"71 MacKay Lane North Granville, RR 1, Breadalbane, PE  C0A 1E0",3,Prince Edward Island,46.425984,-63.492215
International Genetics PEI Ltd,"1423 Mount Stewart Road, PO Box 43, Mount Stewart, PE  C0A 1T0",1,Prince Edward Island,46.3396301269531,-62.8716468811035
Jewell's of PEI Inc,"1203 Covehead Road, York, PE  C0A 1P0",7,Prince Edward Island,46.416154,-63.074183
Jewell's Produce,"450 York Road, RR 1, York, PE  C0A 1P0",18,Prince Edward Island,46.416154,-63.074183
Kildare Fisheries Ltd.,"15900 Route 12, Alberton, PE  C0B 1B0",25,Prince Edward Island,46.837425,-64.113384
King's BBQ & Chinese Food,"92 Capital Drive, Unit 1, Charlottetown, PE  C1E 1E7",1,Prince Edward Island,46.2647949,-63.1559771
Little Blessings,"15 Glen Stewart Drive, Stratford, PE  C1B 2A8",1,Prince Edward Island,46.227283,-63.100946
Maplehurst Properties,"PO Box 1447, Montague, PE  C0A 1R0",1,Prince Edward Island,46.1637,-62.64674
Matos Winery,"3156 West River Road, Suite 9, St. Catherines, PE  C0A 1H1",1,Prince Edward Island,46.210462,-63.228876
McCardle Bros,"1642 Newton Road, Box 28, Kinkora, PE  C0B 1N0",3,Prince Edward Island,46.344061,-63.548072
New Perth Enterprises Inc.,"2020 Monaghan Road, Auburn, PE  C0A 1T0",2,Prince Edward Island,46.3396301269531,-62.8716468811035
PEI Mussel King Inc.,"318 Red Head Road, PO Box 39, Morell, PE  C0A 1S0",3,Prince Edward Island,46.39453125,-62.7252883911133
PEI Select Tours Inc,"Box 175, North Rustico, PE  C0A 1X0",3,Prince Edward Island,46.481013,-63.351456
PEI Symphony Orchestra Society,"Box 185, Charlottetown, PE  C1A 7K4",1,Prince Edward Island,46.252251,-63.115856
Pondsedge Farms Inc.,"85 MacDonald Road, Little Pond, PE  C0A 2B0",1,Prince Edward Island,46.354047,-62.25215
Royal Star Foods Ltd.,"175 Judes Point Road, PO Box 69, Tignish, PE  C0B 2B0",55,Prince Edward Island,46.9756355285645,-64.0738525390625
Sam's Family Restaurant,"16 Gamwell Avenue, Charlottetown, PE  C1A 8Y3",1,Prince Edward Island,46.272835,-63.1388
Sam's Family Restaurant Charlottetown,"121 St. Peter's Road, Charlottetown, PE  C1A 5P3",2,Prince Edward Island,46.254358,-63.120877
Seafood 2000 Ltd.,"10 Water Street, PO Box 4010, Georgetown, PE  C0A 1L0",75,Prince Edward Island,46.185653,-62.522954
Seafood Express (PEI) Limited,"PO Box 1267, Charlottetown, PE  C1A 7M8",30,Prince Edward Island,46.233768,-63.124917
Silver Hill Fur Farm Ltd.,"20826 Route 12, RR 4, Tignish, PE  C0B 2B0",18,Prince Edward Island,46.9756355285645,-64.0738525390625
South Shore Seafoods Ltd.,"PO Box 31, Bloomfield, PE  C0B 1E0",18,Prince Edward Island,46.696448,-64.383974
Steerman's Quality Meats,"131 Drake Road, Vernon Bridge, PE  C0A 2E0",2,Prince Edward Island,46.179,-62.884
Study Abroad Canada Language Institute,"179 Queen Street, Charlottetown, PE  C1A 4B4",1,Prince Edward Island,46.23447,-63.128173
Ta Ke Japanese Restaurant,"92 Queen Street, Charlottetown, PE  C1A 4B1",1,Prince Edward Island,46.233243,-63.12659
The Berry Patch,"11860 St. Peters Road, Tracadie Cross, PE  C0A 1T0",5,Prince Edward Island,46.3396301269531,-62.8716468811035
Tiny Acres Holsteins,"621 Belmont Road, Route 123, Miscouche, PE  C0B 1T0",5,Prince Edward Island,46.428618,-63.875926
Vanco Farms Ltd,"9311 Trans-Canada Highway, Route 1, Mount Albion, PE  C1B 0R4",74,Prince Edward Island,46.22192,-62.971058
VanDiepen Produce,"544 Settlement Road, RR 2, Green Meadows, PE  C0A 1S0",14,Prince Edward Island,46.39453125,-62.7252883911133
W&H Trading and Technology Inc.,"60 Nicholas Lane, Suite 8, Charlottetown, PE  C1E 3J5",1,Prince Edward Island,46.272482,-63.164346
Weekstown Holsteins Inc.,"20988 Route 2, RR 4, Hunter River, PE  C0A 1N0",2,Prince Edward Island,46.401847,-63.338722
Westech Agri Services,"600 Church Street, Alberton, PE  C0B 1B0",48,Prince Edward Island,46.837425,-64.113384
3099794 NS Ltd (Enfield Big Stop),"6757 Highway 2, Enfield, NS  B2T 1C8",2,Nova Scotia,44.939685,-63.534989
3290067 Nova Scotia Limited,"46 Deepwood Crescent, Halifax, NS  B3M 2Y6",3,Nova Scotia,44.661076,-63.645984
5D Imaging,"255 Lacewood Drive, Suite 210, Halifax, NS  B3M 4G2",1,Nova Scotia,44.663706,-63.653164
ABK Biomedical Inc.,"1344 Summer Street, Suite 202, Halifax, NS  B3H 0A8",1,Nova Scotia,44.640001,-63.582446
Acadian Seaplants Ltd.,"30 Brown Avenue, Dartmouth, NS  B3B 1X8",1,Nova Scotia,44.696321,-63.596395
Admiral Administration (Canada) Ltd.,"30 Damascus Road, Suite 202, Bedford, NS  B4A 0C1",1,Nova Scotia,44.723968,-63.670679
Ali's Seafood & Kabob Cuisine,"575 Main Street, Unit 6, Dartmouth, NS  B2W 6A4",1,Nova Scotia,44.693096,-63.501013
Allen Farms Limited,"7295 Highway 221, RR 2, Centreville, NS  B0P 1J0",82,Nova Scotia,45.195976,-64.680474
Allure Construction Ltd.,"196 Black Bear Circle, Lewis Lake, NS  B3Z 0E3",1,Nova Scotia,44.6752244,-63.8286227
Noggins Corner Farm,"266 Sunnyside Road, Wolfville, NS  B4P 2R2",42,Nova Scotia,44.997527,-64.451876
Apple Lane Farm Inc,"54 Prospect Road, RR 1, Berwick, NS  B0P 1E0",6,Nova Scotia,45.090922,-64.823309
Apples & Spice,"23 Bent Road, Waterville, NS  B0P 1V0",14,Nova Scotia,45.1708349,-64.7669826
Aquashell Holdings Inc.,"PO Box 300, Wallace, NS  B0K 1Y0",16,Nova Scotia,45.79188,-63.520605
Athens Restaurant,"6273 Quinpool Road, Halifax, NS  B3L 1A4",3,Nova Scotia,44.645526,-63.596843
Athletigen,"5415 Spring Garden Road, Halifax, NS  B3J 1G1",1,Nova Scotia,44.6434183,-63.5753925
Balamore Farm Ltd,"9036 Highway 2, Great Village, NS  B0M 1L0",294,Nova Scotia,45.369405,-63.662186
Barteaux Farms,"781 Highway 201, Annapolis Royal, NS  B0S 1A0",4,Nova Scotia,44.74364,-65.51801
Basinview Farms,"2077 Pereau Road, RR 1 Canning, Canning, NS  B0P 1H0",10,Nova Scotia,45.026806,-64.165254
Becky's Day Care,"1 Lakewood Drive, Waverley, NS  B2R 1E3",1,Nova Scotia,44.7830474,-63.597822
Bedford Investments Limited,"1741 Grafton Street, Halifax, NS  B3J 2W1",1,Nova Scotia,44.648416,-63.645986
Birchleigh Farms Ltd,"210 Bentley Road, RR 1, Berwick, NS  B0P 1E0",16,Nova Scotia,45.090922,-64.823309
Blue Ocean Contact Centers,"400 Bayers Road, Suite 7051, Halifax, NS  B3L 4V2",1,Nova Scotia,44.653361,-63.623858
Blue Ridge Farm,"220 Arnold Road, Grafton, NS  B0P 1V0",2,Nova Scotia,45.1708349,-64.7669826
Boston Pizza,"115 Chain Lake Drive, Suite 41, Halifax, NS  B3S 1B3",3,Nova Scotia,44.637971,-63.663711
Bragg Lumber Co Ltd,"1536 Wyvern Road, Box 60, Collingwood, NS  B0M 1E0",5,Nova Scotia,45.636927,-63.77345
British Living Housewares,"151 Westwood Boulevard, Upper Tantallon, NS  B3Z 1H5",1,Nova Scotia,44.7053457,-63.8688587
Brookville Carriers Flatbed LP,"PO Box 1896, Truro, NS  B2N 6C7",7,Nova Scotia,45.365588,-63.278129
Bungalo,"5415 Spring Garden, Halifax, NS  B3J 1S1",1,Nova Scotia,,
Cafe Italia,"62 Provost Street, New Glasgow, NS  B2H 2P4",1,Nova Scotia,45.589239,-62.644522
Canard Orchards Ltd,"1489 Highway 341, RR 2, Centreville, NS  B0P 1J0",12,Nova Scotia,45.195976,-64.680474
Canton Garden Restaurant,"30 Farnham Gate Road, Halifax, NS  B3M 3W8",1,Nova Scotia,44.673279,-63.664255
CAP Farms Inc,"243 Coleman Road, Grafton, NS  B0P 1V0",20,Nova Scotia,45.1708349,-64.7669826
Cape Breton District Health Authority,"1482 George Street, Sydney, NS  B1P 1P3",2,Nova Scotia,46.1180163,-60.1714906
Capital District Health Authority,"Bethune Building, 1276 South Park Street, Suite 133, Halifax, NS  B3H 2Y9",1,Nova Scotia,44.6378,-63.578959
Caribbean Bliss Catering/South Park Catering,"3619 Novalea Drive, Halifax, NS  B3K 3G1",1,Nova Scotia,44.668826,-63.60807
Cartoon Conrad Productions Inc,"23 Kuryluk Court, Beaverbank, NS  B4G 1C5",1,Nova Scotia,44.853799,-63.691467
Cha Baa Thai Restaurant Bedford Ltd.,"1545 Birmingham Street, Halifax, NS  B3J 2J6",5,Nova Scotia,44.643134,-63.576928
Cha Baa Thai Restaurant Ltd.(Halifax),"1546 Queen Street, Halifax, NS  B3J 2H8",4,Nova Scotia,44.644095,-63.576945
Charles Keddy Farms Ltd,"982 North Bishop Road, Kentville, NS  B4N 3V7",71,Nova Scotia,45.067163,-64.547804
Cheelin Restaurant,"1496 Lower Water Street, Halifax, NS  B3J 1R9",2,Nova Scotia,44.645084,-63.570552
"Cilantro, The Cooks Shop Inc","PO Box 219, Lunenburg, NS  B0J 2C0",1,Nova Scotia,44.37635,-64.309889
Circle Time Friends Pre School,"2990 Oxford Street, Halifax, NS  B3L 2W4",2,Nova Scotia,44.653374,-63.608409
Classic Freight,"50 Joseph Zatzman Drive, Dartmouth, NS  B3N 1N8",7,Nova Scotia,44.635733,-63.622413
Clearwater Ocean Prawns Venture,"240 Montague Street, PO Box 459, Lunenburg, NS  B0J 2C0",2,Nova Scotia,44.37635,-64.309889
Clearwater Seafoods Limited Partnership,"757 Bedford Highway, Bedford, NS  B4A 3Z7",2,Nova Scotia,44.707624,-63.665571
Clifford Starr Best,"86 Arnold Road, Woodville, NS  B0P 1V0",17,Nova Scotia,45.1708349,-64.7669826
Connors Transfer Limited,"PO Box 2080, Stellarton, NS  B0K 1S0",12,Nova Scotia,45.5583249,-62.6623249
Craig Nichols Farms Ltd,"6640 Aylesford Road, Aylesford, NS  B0P 1C0",26,Nova Scotia,45.066995,-64.800737
Crisp Growers Incorporated,"220 Prospect Road, Berwick, NS  B0P 1E0",8,Nova Scotia,45.090922,-64.823309
Cumberland Health Authority,"34 Prince Arthur Street, Amherst, NS  B4H 1V6",1,Nova Scotia,45.833185,-64.21003
Current Studios Inc.,"11 Ackerley Boulevard, Suite 200, Dartmouth, NS  B3B 1V7",1,Nova Scotia,44.713086,-63.595058
Dalhousie University,"6299 South Street, PO Box 15000, Room 150, Halifax, NS  B3H 4R2",7,Nova Scotia,44.6370504,-63.5964136
Darrell's Restaurant,"5576 Fenwick Street, Halifax, NS  B3H 1P8",1,Nova Scotia,44.638044,-63.573478
DeLong Farms,"509 Barss Corner Road, RR 1, New Germany, NS  B0R 1E0",6,Nova Scotia,44.469069,-64.620343
den Haan Greenhouses,"394 Fitch Road, RR 3, Lawrencetown, NS  B0S 1M0",27,Nova Scotia,44.891613,-65.06213
DMF Medical Incorporated,"1344 Summer Street, Halifax, NS  B3H 0A8",1,Nova Scotia,44.640001,-63.582446
Double Dragon Restaurant Inc.,"9006 Commercial Street, New Minas, NS  B4N 3E2",2,Nova Scotia,45.0681833,-64.4631279
Eagle Ridge Estates,"60 Strathaven Close, Bedford, NS  B4A 4M1",1,Nova Scotia,44.709868,-63.684114
Eassons Transport Ltd.,"1505 Harrington Road, Kentville, NS  B4N 3V7",10,Nova Scotia,45.067163,-64.547804
Eisses Farms Ltd,"1190 Thorpe Road, RR 2, Centreville, NS  B0P 1J0",6,Nova Scotia,45.195976,-64.680474
Ellslea Farms Ltd,"925 Bains Road, RR 5, Canning, NS  B0P 1H0",2,Nova Scotia,45.026806,-64.165254
Elmridge Farm (2003) Ltd,"765 Bains Road, RR 2, Centreville, NS  B0P 1J0",26,Nova Scotia,45.195976,-64.680474
EM&I Stantec Ltd.,"10 Thornhill Drive, Unit 3, Dartmouth, NS  B3B 1S1",4,Nova Scotia,44.699441,-63.595036
Emera Uitlities Services Incorporated,"31 Dominion Crescent, Lakeside, NS  B3T 1M3",1,Nova Scotia,44.6415456,-63.6859733
Enercon Services Nova Scotia Inc.,"134 Eileen Stubbs Avenue, Suite 102, Dartmouth, NS  B3B 0A9",1,Nova Scotia,44.695212,-63.573165
European Natural Stone & Marble Products Ltd.,"130 Chain Lake Drive, Halifax, NS  B3S 1A2",1,Nova Scotia,44.645251,-63.667365
Eyking Brothers Farms Ltd,"300 Millville Highway, Millville, NS  B1Y 2E2",9,Nova Scotia,46.27095,-60.379651
Eyking Under Glass Ltd,"289 Millville Highway, Millville, NS  B1Y 2E1",3,Nova Scotia,46.27095,-60.379651
Fall River Productions Inc.,"5285 Sackville Street, Halifax, NS  B3J 1K9",5,Nova Scotia,44.645676,-63.575676
Farnell Packaging Ltd,"30 Ilsley Avenue, Dartmouth, NS  B3B 1L3",1,Nova Scotia,44.704755,-63.595664
Fire Coat Canada Inc.,"60 Strathaven Close, Bedford, NS  B4A 4M1",1,Nova Scotia,44.709868,-63.684114
Fisher King Seafoods Ltd.,"71 McQuade Lake Crescent, Halifax, NS  B3S 1C4",1,Nova Scotia,44.639805,-63.667164
Fix Auto,"120 North Foord Street, New Glasgow, NS  B2H 5H1",2,Nova Scotia,45.55413,-62.66146
