Employer,Address,Positions,Province,Latitude,Longitude
Domino's Pizza,"386 University Avenue, Charlottetown, PE  C1A 4N5",1,Prince Edward Island,46.244386,-63.1338403
Eastern Exporters Ltd,"677 Route 2, Box 418, Souris, PE  C0A 2B0",7,Prince Edward Island,46.354047,-62.25215
Extondale Farms Ltd.,"177 Crooked Creek Road, Oyster Bed, PE  C1E 1Z4",2,Prince Edward Island,46.283411,-63.196791
Health PEI,"P.O. Box 2000, 16 Fitzroy Street, Charlottetown, PE  C1A 7N8",1,Prince Edward Island,46.25128,-63.147429
International Genetics PEI Ltd,"P.O. Box 43, 1423 Mt. Stewart Road, Mount Stewart, PE  C0A 1T0",1,Prince Edward Island,46.3396301269531,-62.8716468811035
Jewell's Produce,"450 York Road, RR 1, York, PE  C0A 1P0",8,Prince Edward Island,46.416154,-63.074183
Kouwenberg Farm Inc.,"340 Millview Road, Lot 50, Millview, PE  C0A 2E0",1,Prince Edward Island,46.179,-62.884
Kyle Murray Farms Ltd,"293 River Road Augustine Cove, Borden RR 1, PE  C0B 1X0",2,Prince Edward Island,46.256255,-63.67178
MacDougall Steel Erectors Inc.,"P.O. Box 250, Cornwall, PE  C0A 1H0",6,Prince Edward Island,46.1749323,-63.2607926
New Perth Enterprises Inc.,"2020 Monaghan Road, Auburn, PE  C0A 1T0",2,Prince Edward Island,46.3396301269531,-62.8716468811035
Newland Farms Inc.,"5078 Rennies Road, RR 2, Hunter River, PE  C0A 1N0",1,Prince Edward Island,46.401847,-63.338722
Novartis Animal Health Canada Inc.,"37 McCarville Street, Charlottetown, PE  C1E 2A7",2,Prince Edward Island,46.2647993,-63.1706287
Pedro's Island Eatery,"11 York Point Road, P.O. Box 1165, Cornwall, PE  C0A 1H0",1,Prince Edward Island,46.1749323,-63.2607926
PEI Junior Bad Ct,"59 Williams Gate, Stratford, PE  C1B 0C7",1,Prince Edward Island,46.215414,-63.081956
Sam's Family Restaurant,"2 Centenial Drive, Cornwall, PE  C0A 1H0",1,Prince Edward Island,46.1749323,-63.2607926
Seafood Express (PEI) Limited,"P.O. Box 1267, Charlottetown, PE  C1A 7M8",6,Prince Edward Island,46.233768,-63.124917
Silver Hill Fur Farm Ltd.,"20826 Route 12, RR 4, Tignish, PE  C0B 2B0",23,Prince Edward Island,46.9756355285645,-64.0738525390625
Smith Farms,"2614 New Glasgow Road, RR 3, New Glasgow, PE  C0A 1N0",3,Prince Edward Island,46.401847,-63.338722
South Shore Seafoods Ltd.,"P.O. Box 31, Bloomfield, PE  C0B 1E0",34,Prince Edward Island,46.696448,-64.383974
Tiny Acres Holsteins,"621 Belmont Road, Route 123, Miscouche, PE  C0B 1T0",2,Prince Edward Island,46.428618,-63.875926
Vanco Farms Ltd,"9311 Trans Canada Highway, Route 1, Mount Albion, PE  C1B 0R4",31,Prince Edward Island,46.22192,-62.971058
3099794 NS Ltd (Enfield Big Stop),"6757 Highway 2, Enfield, NS  B2T 1C8",2,Nova Scotia,44.939685,-63.534989
Allen Farms Limited,"7295 Hwy 221, RR 2, Centreville, NS  B0P 1J0",6,Nova Scotia,45.195976,-64.680474
Apple Lane Farm Inc,"54 Prospect Road, RR 1, Berwick, NS  B0P 1E0",6,Nova Scotia,45.090922,-64.823309
Atlantic Hardchrome Limited,"5 Notting Court, Dartmouth, NS  B3B 1N2",2,Nova Scotia,44.708483,-63.601019
Basinview Farms,"RR 1, Canning 2077 Pereau Road, Kings County, NS  B0P 1H0",4,Nova Scotia,45.026806,-64.165254
Benjamin Bridge Vineyards,"1842 White Rock Road, RR 1, Wolfville, NS  B4P 2R1",1,Nova Scotia,45.013938,-64.403589
Best Choice Chinese Food,"28B Titus Street, Halifax, NS  B3M 2N4",1,Nova Scotia,44.66026,-63.6351207
Birchleigh Farms Ltd,"210 Bentley Road, RR 1, Berwick, NS  B0P 1E0",4,Nova Scotia,45.090922,-64.823309
Bluefin Marine Electrical Services,"11 Morris Drive, Unit 118, Dartmouth, NS  B3B 1M4",1,Nova Scotia,44.708398,-63.59533
Boston Pizza,"116 Chain Lake Drive, Suite 41, Halifax, NS  B3S 1B3",3,Nova Scotia,44.637971,-63.663711
Brass Rail Restaurant,"978 Cole Harbour Road, Cole Harbour, NS  B2V 1E7",1,Nova Scotia,44.671402,-63.494685
Canard Orchards Ltd,"1489 Highway 341, RR 2, Centreville, NS  B0P 1J0",6,Nova Scotia,45.195976,-64.680474
Cape Breton District Health Authority,"1482 George Street, Sydney, NS  B1P 1P3",1,Nova Scotia,46.1180163,-60.1714906
Cape Breton University,"P.O. Box 5300, 1250 Grand Lake Road, Sydney, NS  B1P 6L2",1,Nova Scotia,46.14367,-60.19332
Capital District Health Authority,"1276 South Park Street, Halifax, NS  B3H 2Y9",2,Nova Scotia,44.6378,-63.578959
CGI Group Inc.,"7071 Bayers Road, Suite 1007, Halifax, NS  B3L 2C2",9,Nova Scotia,44.653612,-63.627898
Charles Keddy Farms Ltd,"982 North Bishop Road, Kentville, NS  B4N 3V7",4,Nova Scotia,45.067163,-64.547804
Clearwater Seafoods Limited Partnership,"757 Bedford Highway, Bedford, NS  B4A 3Z7",1,Nova Scotia,44.707624,-63.665571
Craig Nichols Farms Ltd,"6640 Aylesford Road, Aylesford, NS  B0P 1C0",9,Nova Scotia,45.066995,-64.800737
Crisp Growers Inc,"220 Prospect Road, Berwick, NS  B0P 1E0",4,Nova Scotia,45.090922,-64.823309
den Haan Greenhouses,"394 Fitch Road, RR 3, Lawrencetown, NS  B0S 1M0",18,Nova Scotia,44.891613,-65.06213
Driver Productions Inc.,"5285 Sackville Street, Halifax, NS  B3J 1K9",5,Nova Scotia,44.645676,-63.575676
Eassons Transport Ltd.,"1505 Harrington Road, Kentville, NS  B4N 3V7",20,Nova Scotia,45.067163,-64.547804
Ellslea Farms Ltd,"925 Bains Road, RR 5, Canning, NS  B0P 1H0",2,Nova Scotia,45.026806,-64.165254
Elmridge Farm (2003) Ltd,"765 Bains Road, RR 2, Centreville, NS  B0P 1J0",23,Nova Scotia,45.195976,-64.680474
End of the line Pub & Grill ltd,"P.O. Box 219, Bridgetown, NS  B0S 1C0",1,Nova Scotia,44.764216,-65.44272
Fall River Productions Inc.,"5285 Sackville Street, Halifax, NS  B3J 1K9",19,Nova Scotia,44.645676,-63.575676
Fancy Lebanese Bakery,"2573 Agricola Street, Stn A, Halifax, NS  B3K 4C4",2,Nova Scotia,44.654497,-63.592367
Fan's Chinese Restaurant,"451 Windmill Road, Suite 8, Dartmouth, NS  B3A 1J9",1,Nova Scotia,44.683995,-63.598132
First Memories Daycare Inc.,"289 Beaverbank Road, Beaverbank, NS  B4E 1K1",1,Nova Scotia,44.7956419,-63.6907234
Fisherman's Market International Inc.,"607 Bedford Highway, Halifax, NS  B3M 2L6",5,Nova Scotia,44.690147,-63.659759
Fox Harb'r Developments Limited (or) Fox Harb'r Golf Resort & Spa,"1337 Fox Harbour Road, Wallace, NS  B0K 1Y0",1,Nova Scotia,45.79188,-63.520605
Fujiyama Restaurant,"5244 Blowers Street, Halifax, NS  B3J 1J7",1,Nova Scotia,44.645217,-63.573178
Fuller Bros,"RR 1, Avonport, NS  B0P 1B0",6,Nova Scotia,45.095693,-64.227973
G & C Hughes Enterprises Ltd,"136 New Russell Road, RR 2, New Ross, NS  B0J 2M0",7,Nova Scotia,44.7657928466797,-64.4158172607422
GAR Tree Farms Ltd,"595 Farmington Road, RR 1, Barss Corner, NS  B0R 1A0",25,Nova Scotia,44.6241188049316,-64.6746444702148
H B Morse & Son,"4127 Brooklyn Street, RR 2, Berwick, NS  B0P 1E0",19,Nova Scotia,45.090922,-64.823309
Halifax Health Centre,"6247 Jubilee Road, Halifax, NS  B3H 2G4",2,Nova Scotia,44.641719,-63.595028
Halterm Container Terminal Limited Partnership,"P.O. Box 1057, 577 Marginal Road, Halifax, NS  B3J 2X1",1,Nova Scotia,44.651606,-63.572435
Happy Veal Hot Pot Ltd.,"85 Transom Drive, Halifax, NS  B3M 4T7",2,Nova Scotia,44.692236,-63.676392
Hillside Orchards,"4771 Highway 221, Berwick, NS  B0P 1E0",2,Nova Scotia,45.090922,-64.823309
Hoodoo Productions Inc.,"5285 Sackville Street, Halifax, NS  B3J 1K9",1,Nova Scotia,44.645676,-63.575676
Imp Group Limited,"P.O. Box 10, Amherst, NS  B4H 3Y7",1,Nova Scotia,45.83525,-64.213502
Inn on the Lake,"3009 Highway 2, Fall River, NS  B2T 1J5",1,Nova Scotia,44.808796,-63.605941
Irving Shipbuilding Inc.,"P.O. Box 9110, Halifax, NS  B3K 5M7",7,Nova Scotia,44.66274,-63.590281
J W Mason & Sons (2013) Limited,"836 Windsor Back Road, RR 1, Windsor, NS  B0N 2T0",19,Nova Scotia,44.819594,-64.318054
J.P.F.K Cuisine LTD (Villa Medina),"250 Stanfield Avenue, Dartmouth, NS  B3A 4N3",1,Nova Scotia,44.684296,-63.558822
JMP Property Services Ltd.,"3700 Joseph Howe Drive, Suite 2, Halifax, NS  B3M 3M5",1,Nova Scotia,44.660976,-63.638736
Kinesis Health Associates,"200 Ochterloney Street, Suite 155, Dartmouth, NS  B2Y 1C9",1,Nova Scotia,44.66937,-63.5652
Longtail Studios Halifax Inc.,"1505 Barrington Street Mezzanine North, Halifax, NS  B3J 3K5",2,Nova Scotia,44.644489,-63.572554
Lutz Family Farm Ltd,"1023 Prospect Road, Berwick, NS  B0P 1E0",1,Nova Scotia,45.090922,-64.823309
M&S Bertossi Inc. o/a Da Maurizio,"1496 Lower Water Street, Halifax, NS  B3J 1R7",1,Nova Scotia,,
Maritime Osteopathy Ltd,"350B King Street, Bridgewater, NS  B4V 1A9",2,Nova Scotia,44.374803,-64.514661
Maskwa Aquatic Club,"P.O. Box 25210, Clayton Park RPO, Halifax, NS  B3M 4H4",1,Nova Scotia,44.650717,-63.586497
Mexicali Rosa's,"5472 Spring Garden Road, Halifax, NS  B3J 1G3",1,Nova Scotia,44.643266,-63.575991
Mezza Lebanese Restaurant,"6386 Quinpool Road, Halifax, NS  B3L 4N2",1,Nova Scotia,44.644616,-63.599995
Mic Mac Bar and Grill,"217 Waverley Road, Dartmouth, NS  B2X 2C3",6,Nova Scotia,44.692423,-63.545997
Millen Farms Ltd,"80 Little Dyke Road, Great Village, NS  B0M 1L0",48,Nova Scotia,45.369405,-63.662186
Ming's Restaurant Ltd,"P.O. Box 218, New Glasgow, NS  B2H 5E3",1,Nova Scotia,45.601703,-62.612365
Mirchi Tandoor Restaurant,"5232 Blowers Street, Halifax, NS  B3J 1J7",2,Nova Scotia,44.645217,-63.573178
Mundle's Farm,"226 Pugwash Point Road, Pugwash, NS  B0K 1L0",1,Nova Scotia,45.8656768798828,-63.6681251525879
Nguyen Technologies & Electrical Equipment (O/A NTE),"339 WINDMILL ROAD, DARTMOUTH, NS  B3A 1H8",1,Nova Scotia,44.679526,-63.594477
Oakland Veterinary Hospital Inc.,"1255 Oakland Road, Mahone Bay, NS  B0J 2E0",1,Nova Scotia,44.308292,-64.307402
Olly Fresco's Food Service,"1949 Upper Water Street, Suite 211, Halifax, NS  B3J 3N3",1,Nova Scotia,44.6508449,-63.5746785
Pictou County Health Authority,"835 East River Road, New Glasgow, NS  B2H 3S6",1,Nova Scotia,45.573313,-62.642224
Precision BioLogic Inc,"140 Eileen Stubbs Avenue, Dartmouth, NS  B3B 0A9",1,Nova Scotia,44.695212,-63.573165
Premiere Executive Suites,"1479 Lower Water Street, Suite 190, Halifax, NS  B3J 3Z3",1,Nova Scotia,44.643696,-63.569504
Premium Choice Shrimp Ltd.,"P.O. Box 39, Arichat, NS  B0E 1A0",5,Nova Scotia,45.514793,-60.966046
PricewaterhouseCoopers LLP,"1601 Lower Water Street, Suite 400, Halifax, NS  B3J 3P6",1,Nova Scotia,44.646006,-63.570789
Quay Entertainment,"1674 Hollis Street, Halifax, NS  B3J 1V7",1,Nova Scotia,44.646838,-63.572429
Remote Access Technology Inc,"61 Atlantic Street, Dartmouth, NS  B2Y 3P4",16,Nova Scotia,44.668443,-63.560254
Rhubarb Restaurant,"8650 Peggy's Cove Road, Indian Harbour, NS  B3Z 3P4",1,Nova Scotia,44.51812,-63.934995
RKO Steel Limited,"85 MacDonald Avenue, Dartmouth, NS  B3B 1T8",10,Nova Scotia,44.695131,-63.586245
SBM Nova Scotia Contractors Inc.,"250 Baker Drive, Suite 222, Dartmouth, NS  B2W 6L4",5,Nova Scotia,44.670365,-63.532147
Secrets Spa & Hair Design,"830 Reeves Street, Port Hawkesbury, NS  B9A 2S3",1,Nova Scotia,45.617066,-61.357947
Showcase Hair Design,"5982 Spring Garden Road, Halifax, NS  B3H 1Y7",2,Nova Scotia,44.640826,-63.585165
Smith & Scott Steakhouse,"6160 Young Street, Halifax, NS  B3K 2A3",2,Nova Scotia,44.659166,-63.603007
Solit Management Canada Ltd.,"14 Bay Street, Arichat, NS  B0E 1A0",2,Nova Scotia,45.514793,-60.966046
South Shore District Health Authority,"90 Glen Allan Drive, Bridgewater, NS  B4V 3S6",2,Nova Scotia,44.383116,-64.513738
Spiteful Too Pictures Inc,"5182 Bishop Street, Halifax, NS  B3J 1C9",2,Nova Scotia,44.64316,-63.571194
Spurr Brothers Farms Ltd,"144 Bridge Street, RR 2, Kingston, NS  B0P 1R0",14,Nova Scotia,45.074551,-64.720682
Subway,"403 Charlotte Street, Sydney, NS  B1P 1E3",3,Nova Scotia,46.1365745,-60.1942271
Sunsel Systems Manufacturing Corporation,"800A Windmill Road, Dartmouth, NS  B3B 1L1",3,Nova Scotia,44.667729,-63.580543
Talay Thai Dartmouth Restaurant Inc,"984 Cole Harbour Road, Dartmouth, NS  B2V 1E7",2,Nova Scotia,44.671402,-63.494685
Talay Thai Restaurant,"1261 Barrington Street, Halifax, NS  B3J 1Y2",2,Nova Scotia,44.64012,-63.570421
Thai Ivory Cuisine,"6303 Quinpool Road, Halifax, NS  B3L 1A4",3,Nova Scotia,44.645526,-63.596843
The Argyle Bar & Grill,"1575 Argyle Street, Halifax, NS  B3J 2B2",1,Nova Scotia,44.64533,-63.573882
The Tom Kotter Company Ltd.,"1674 Hollis Street, Halifax, NS  B3J 1V7",1,Nova Scotia,44.646838,-63.572429
Thompson's Moving Group Ltd.,"51 Thornhill Drive, Dartmouth, NS  B3B 1R9",1,Nova Scotia,44.699403,-63.595049
Traditional Evergreen Tree Farm Ltd,"Box 25, 184 William Wile Road, Bridgewater, NS  B4V 2W6",4,Nova Scotia,44.367212,-64.561088
Turkish Delight,"5680 Spring Garden Road, Halifax, NS  B3J 1H5",1,Nova Scotia,44.642434,-63.579178
VanMeekeren Farms Ltd,"237 Thorpe Road, Lakeville, NS  B4N 3V7",13,Nova Scotia,45.067163,-64.547804
Vermeuland Farms Limited,"257 Nelson Hill, Milford Station, NS  B0N 1Y0",2,Nova Scotia,44.9946916,-63.3453807
Vital Berry Farms,"1225 Middle Dyke Road, Centreville, NS  B0P 1J0",43,Nova Scotia,45.195976,-64.680474
West River Holsteins,"4543 Harbour Centre RR 4, Antigonish, NS  B2G 2L2",2,Nova Scotia,45.654903,-61.944846
Wolfville Nursing Homes Ltd,"601 Main Street, Wolfville, NS  B4P 1E9",5,Nova Scotia,45.091737,-64.35987
053636 NB Ltd.,"372 Beausejour Street, Dieppe, NB  E1A 1Y6",6,New Brunswick,46.093314,-64.752684
"501359 NB, Ltd. (Subway-Morton Ave)","99 Morton Avenue, Moncton, NB  E1A 3H8",2,New Brunswick,46.113982,-64.774147
A-oK Trucking Inc.,"79 Somerville Road, Unit 4, Somerville, NB  E7P 2S1",1,New Brunswick,46.2881240844727,-67.5455093383789
BEUMER Group Canada Corporation,"95 Foundry Street, Suite 300, Moncton, NB  E1C 5H7",1,New Brunswick,46.085645,-64.781271
BOAZ West Japanese & Korean Restaurant,"200 Bridge Road, Saint John, NB  E2M 7Y9",1,New Brunswick,45.258377,-66.088732
BTN Atlantic,"891 Route 880, P.O. Box 243, Berwick, NB  E5P 3H5",7,New Brunswick,45.841633,-65.58021
CARIS,"115 Waggoners Lane, Fredericton  NB  E3B 2L4",1,New Brunswick,45.958742,-66.662403
Centre hospitalier universitaire Dr-Georges-L.-Dumont,"330 Université Avenue, Moncton, NB  E1C 2Z3",1,New Brunswick,46.098111,-64.78615
Cooke Aquaculture Inc. (incl. GMG Fish Services),"669 Main Street, Blacks Harbour, NB  E5H 1K1",1,New Brunswick,45.06265,-66.7808
D-U-C Trucking Inc.,"177 Houlton Road, Woodstock, NB  E7M 1Y7",1,New Brunswick,46.1457893,-67.5886668
Elsipogtog Mental Health & Addictions,"2 Big Cove Road, Suite 205, Elsipogtog, NB  E4W 2S1",1,New Brunswick,46.679662,-64.866292
Ferme Bourgeois Farms Inc.,"1209 Principale Street, Memramcook, NB  E4K 2S6",3,New Brunswick,45.949971,-64.628396
Horizon Health Network,"P.O. Box 2100, Saint John, NB  E2L 4L2",3,New Brunswick,45.277029,-66.068461
Irving Oil Company Limited,"10 Sydney Street, P.O. Box 1421, Saint John, NB  E2L 4K1",1,New Brunswick,45.277029,-66.068461
Jeramand Trucking,"2320 Route 115, Irishtown, NB  E1H 2L3",4,New Brunswick,46.241466,-64.801236
Jolly Farmer Products Inc,"56 Crabbe Road, Northampton, NB  E7N 1R6",22,New Brunswick,46.053925,-67.549314
JP's Garage,"1105 Champlain Street, Dieppe, NB  E1A 1P9",1,New Brunswick,46.103878,-64.707105
Les Petits Fruits de Pré-d'en-Haut Inc,"831 Pré-d'en-Haut Street, Memramcook, NB  E4K 1K8",1,New Brunswick,45.968083,-64.605089
Leslie Leger and Sons Ltd,"34, chemin de la Côte, Trois-Ruisseaux, NB  E4N 3B3",9,New Brunswick,46.2154693603516,-64.2717361450195
Marlene Moffett Ltd,"12186 Route 14, Penobquis, NB  E4G 2Z4",1,New Brunswick,45.796334,-65.26883
McConnell Transport Ltd.,"P.O. Box 9053, Woodstock, NB  E7M 6B5",21,New Brunswick,46.155532,-67.592329
Misu Restaurant,"435 Brookside Drive, Unit 31, Fredericton, NB  E3A 8V4",1,New Brunswick,45.992339,-66.649999
Mother Nature's,"337 Rothesay Avenue, Saint John, NB  E2J 2C3",2,New Brunswick,45.295029,-66.041601
NARU Japanese Restaurant Ltd.,"536 Queen Street, Fredericton, NB  E3B 1B9",1,New Brunswick,45.961468,-66.639585
Norbulk Shipping NB Ltd.,"251 Bayside Drive, Saint John, NB  E2J 1A7",20,New Brunswick,45.280605,-66.036556
Quality Transportation Services,"43 Sewell Road, Jacksonville, NB  E7M 3S1",4,New Brunswick,46.1887576,-67.6071221
REM Transport,"4 Hall Road, P.O. Box 481, St. Stephen, NB  E3L 3A6",2,New Brunswick,45.195529,-67.282394
Shediac Lobster Shop,"261 Main Street, Shediac, NB  E4P 2A6",86,New Brunswick,46.21997,-64.53642
Sowcow Farms Inc,"12186 Route 114, Penobsquis  NB  E4G 2Z4",2,New Brunswick,45.796334,-65.26883
Sunbury Dental Lab Inc.,"268 Restigouche Road, Oromocto, NB  E2V 2G9",1,New Brunswick,45.84168,-66.491626
Taste of Mediterranean,"519 Westmorland Road, Saint John, NB  E2J 3W9",2,New Brunswick,45.310191,-66.015935
The Marcan Group 2006 Inc. o/a Subway,"706 Main Street, Moncton, NB  E1C 1E4",2,New Brunswick,46.088929,-64.775636
Tisdale Trucking,"7989 Route 104, Bubartown, NB  E7P 2K1",1,New Brunswick,46.37095,-67.44498
Tran's Place Restaurant,"436 Elmwood Drive, Moncton, NB  E1A 2X1",1,New Brunswick,46.117895,-64.772152
Trius Disposal Systems Ltd,"70 Trius Drive, P.O. Box 1385, Fredericton, NB  E3B 5E3",1,New Brunswick,45.898233,-66.74822
Vito's Pizzeria Food Production Ltd.,"726 Mountain Road, Moncton, NB  E1C 2P8",2,New Brunswick,46.099265,-64.804206
W. I. Goddard & Sons Ltd.,"4248 Route 106, Petitcodiac East, NB  E4Z 3L4",2,New Brunswick,45.970271,-65.139114
Windhaven Farms,"26 Lancelot Drive, Moncton, NB  E1A 6N6",1,New Brunswick,46.111275,-64.72255
Xplornet Communications Inc.,"300 Lockhart Mill Road, Woodstock, NB  E7M 5C3",1,New Brunswick,46.1875,-67.640172
1976 productions,"6758 Henri-Julien Avenue, Montreal, QC  H2S 2V4",2,Quebec,45.535327,-73.611411
2637-5808 Québec inc.,"2091, route Marie-Victorin, St-Nicolas, QC  G7A 4H4",2,Quebec,46.7007625,-71.4130407
